event,phase,id,action,player,amount,private,who,percentage,company,round,source,direction,old_price,new_price,location,tile,rotation,train,route,per_share,num_shares,old_train,new_train
PriorityDeal,,80,,JuicyBerry,,,,,,,,,,,,,,,,,,,
OperatingRound,,81,,,,,,,,1.1,,,,,,,,,,,,,
,,82,Collect,,15,,y,,,,Delaware & Hudson,,,,,,,,,,,,
,,83,Collect,,10,,e,,,,Champlain & St.Lawrence,,,,,,,,,,,,
,,84,Collect,,30,,e,,,,Baltimore & Ohio,,,,,,,,,,,,
,,85,Collect,,5,,n,,,,Schuylkill Valley,,,,,,,,,,,,
,,86,Collect,,20,,n,,,,Mohawk & Hudson,,,,,,,,,,,,
,,87,Collect,,25,,n,,,,Camden & Amboy,,,,,,,,,,,,
CompanyOperated,,88,,y,,,,,PRR,,,,,,,,,,,,,,
,,89,TokenPlaced,,,,,,R,,,,,,H12,,,,,,,,
,,90,TilePlaced,,,,,,R,,,,,,H10 (Pittsburgh),57,1,,,,,,
,,91,TokenPlaced,,,,,,R,,,,,,H10 (Pittsburgh)  for $40,,,,,,,,
,,92,TrainSkipped,,,,,,R,,,,,,,,,,,,,,
,,93,RunTrainSkipped,,,,,,R,,,,,,,,,,,,,,
SharePriceMove,,94,,,,,,,R,,,left,90,82,,,,,,,,,
,,95,TrainBought,,80,,,,R,,The Depot,,,,,,,2,,,,,
,,96,TrainBought,,80,,,,R,,The Depot,,,,,,,2,,,,,
,,97,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,98,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,99,,y,,,,,C&O,,,,,,,,,,,,,,
,,100,TokenPlaced,,,,,,O,,,,,,F6,,,,,,,,
,,101,TilePlaced,,,,,,O,,,,,,G7 (Akron & Canton),2,5,,,,,,
,,102,TokenSkipped,,,,,,O,,,,,,,,,,,,,,
,,103,TrainSkipped,,,,,,O,,,,,,,,,,,,,,
,,104,RunTrainSkipped,,,,,,O,,,,,,,,,,,,,,
SharePriceMove,,105,,,,,,,O,,,left,82,76,,,,,,,,,
,,106,TrainBought,,80,,,,O,,The Depot,,,,,,,2,,,,,
,,107,Passed,,,,O,,,,,,,,,,,,,,,,
,,108,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
StockRound,,109,,,,,,,,2,,,,,,,,,,,,,
,,110,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,111,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,112,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,113,Passed,,,,leesin,,,,,,,,,,,,,,,,
SharePriceMove,,114,,,,,,,R,,,up,82,90,,,,,,,,,
SharePriceMove,,115,,,,,,,O,,,up,76,82,,,,,,,,,
PriorityDeal,,116,,JuicyBerry,,,,,,,,,,,,,,,,,,,
OperatingRound,,117,,,,,,,,2.1,,,,,,,,,,,,,
,,118,Collect,,15,,y,,,,Delaware & Hudson,,,,,,,,,,,,
,,119,Collect,,10,,e,,,,Champlain & St.Lawrence,,,,,,,,,,,,
,,120,Collect,,30,,e,,,,Baltimore & Ohio,,,,,,,,,,,,
,,121,Collect,,5,,n,,,,Schuylkill Valley,,,,,,,,,,,,
,,122,Collect,,20,,n,,,,Mohawk & Hudson,,,,,,,,,,,,
,,123,Collect,,25,,n,,,,Camden & Amboy,,,,,,,,,,,,
CompanyOperated,,124,,y,,,,,PRR,,,,,,,,,,,,,,
,,125,TilePlaced,,,,,,R,,,,,,H8,8,2,,,,,,
,,126,TokenSkipped,,,,,,R,,,,,,,,,,,,,,
,,127,TrainRan,,30,,,,R,,,,,,,,,2,H10-G7,,,,
,,128,TrainRan,,30,,,,R,,,,,,,,,2,H10-H12,,,,
,,129,DividendPayed,,60,,,,R,,,,,,,,,,,6,,,
SharePriceMove,,130,,,,,,,R,,,right,90,100,,,,,,,,,
,,131,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,132,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,133,,y,,,,,C&O,,,,,,,,,,,,,,
,,134,TilePlaced,,,,,,O,,,,,,G5,8,1,,,,,,
,,135,TokenSkipped,,,,,,O,,,,,,,,,,,,,,
,,136,TrainRan,,40,,,,O,,,,,,,,,2,F6-G7,,,,
,,137,DividendPayed,,40,,,,O,,,,,,,,,,,4,,,
SharePriceMove,,138,,,,,,,O,,,right,82,90,,,,,,,,,
,,139,TrainBought,,80,,,,O,,The Depot,,,,,,,2,,,,,
,,140,Passed,,,,O,,,,,,,,,,,,,,,,
,,141,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
StockRound,,142,,,,,,,,3,,,,,,,,,,,,,
,,143,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,144,SharesSold,e,360,,,,C&O,,,,,,,,,,,,4,,
SharePriceMove,,145,,,,,,,O,,,down,90,67,,,,,,,,,
,,146,ShareBought,e,100,,,10,B&O,,IPO,,,,,,,,,,,,
,,147,ShareBought,y,67,,,10,C&O,,market,,,,,,,,,,,,
,,148,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,149,SharesSold,n,300,,,,PRR,,,,,,,,,,,,3,,
SharePriceMove,,150,,,,,,,R,,,down,100,76,,,,,,,,,
,,151,CompanyPared,leesin,71,,,,NYNH,,,,,,,,,,,,,,
,,152,ShareBought,n,142,,,20,NYNH,,IPO,,,,,,,,,,,,
PresidentNomination,,153,,leesin,,,,,NYNH,,,,,,,,,,,,,,
,,154,ShareBought,y,67,,,10,C&O,,market,,,,,,,,,,,,
,,155,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,156,ShareBought,e,100,,,10,B&O,,IPO,,,,,,,,,,,,
,,157,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,158,SharesSold,y,67,,,,C&O,,,,,,,,,,,,1,,
SharePriceMove,,159,,,,,,,O,,,down,67,67,,,,,,,,,
,,160,ShareBought,y,71,,,10,NYNH,,IPO,,,,,,,,,,,,
,,161,ShareBought,n,71,,,10,NYNH,,IPO,,,,,,,,,,,,
,,162,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,163,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,164,ShareBought,e,100,,,10,B&O,,IPO,,,,,,,,,,,,
,,165,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,166,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,167,ShareBought,n,71,,,10,NYNH,,IPO,,,,,,,,,,,,
,,168,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,169,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,170,ShareBought,e,100,,,10,B&O,,IPO,,,,,,,,,,,,
CompanyFloating,,171,,O,,,,,,,,,,,,,,,,,,,
,,172,FundsReceived,,1000,,,,O,,,,,,,,,,,,,,
,,173,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,174,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,175,ShareBought,n,71,,,10,NYNH,,IPO,,,,,,,,,,,,
CompanyFloating,,176,,H,,,,,,,,,,,,,,,,,,,
,,177,FundsReceived,,710,,,,H,,,,,,,,,,,,,,
,,178,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,179,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,180,ShareBought,e,76,,,10,PRR,,market,,,,,,,,,,,,
,,181,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,182,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,183,ShareBought,n,67,,,10,C&O,,market,,,,,,,,,,,,
,,184,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,185,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,186,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,187,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,188,Passed,,,,leesin,,,,,,,,,,,,,,,,
PriorityDeal,,189,,JuicyBerry,,,,,,,,,,,,,,,,,,,
OperatingRound,,190,,,,,,,,3.1,,,,,,,,,,,,,
,,191,Collect,,15,,y,,,,Delaware & Hudson,,,,,,,,,,,,
,,192,Collect,,10,,e,,,,Champlain & St.Lawrence,,,,,,,,,,,,
,,193,Collect,,30,,e,,,,Baltimore & Ohio,,,,,,,,,,,,
,,194,Collect,,5,,n,,,,Schuylkill Valley,,,,,,,,,,,,
,,195,Collect,,20,,n,,,,Mohawk & Hudson,,,,,,,,,,,,
,,196,Collect,,25,,n,,,,Camden & Amboy,,,,,,,,,,,,
CompanyOperated,,197,,e,,,,,B&O,,,,,,,,,,,,,,
,,198,TokenPlaced,,,,,,O,,,,,,I15,,,,,,,,
