event,phase,id,action,player,amount,private,who,percentage,company,round,source,direction,old_price,new_price,location,tile,rotation,train,route,per_share,num_shares,old_train,new_train
SharePriceMove,,372,,,,,,,C,,,right,90,100,,,,,,,,,
,,373,PrivateBought,NYC,220,Mohawk & Hudson from leesin,,,,,,,,,,,,,,,,,
,,374,Passed,,,,NYC,,,,,,,,,,,,,,,,
,,375,Passed,,,,NYC,,,,,,,,,,,,,,,,
CompanyOperated,,376,,e,,,,,B&O,,,,,,,,,,,,,,
,,377,TilePlaced,,,,,,O,,,,,,H18 (Philadelphia & Trenton),59,5,,,,,,
,,378,Passed,,,,O,,,,,,,,,,,,,,,,
,,379,TrainRan,,60,,,,O,,,,,,,,,4,H16-I15,,,,
,,380,TrainRan,,100,,,,O,,,,,,,,,3,H18-H16-H10,,,,
,,381,DividendPayed,,160,,,,O,,,,,,,,,,,16,,,
SharePriceMove,,382,,,,,,,O,,,right,82,90,,,,,,,,,
,,383,PrivateBought,O,80,Champlain & St.Lawrence from KingZombie,,,,,,,,,,,,,,,,,
,,384,TilePlaced,,,,,,),,,,,,B20 (Burlington),58,4,,,,,,
,,385,Passed,,,,O,,,,,,,,,,,,,,,,
,,386,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,387,,y,,,,,C&O,,,,,,,,,,,,,,
,,388,TilePlaced,,,,,,O,,,,,,G11,8,0,,,,,,
,,389,TokenPlaced,,,,,,O,,,,,,H16 (Lancaster)  for $100,,,,,,,,
,,390,TrainRan,,80,,,,O,,,,,,,,,3,F2-F6-G7,,,,
,,391,TrainRan,,100,,,,O,,,,,,,,,3,H18-H16-I15,,,,
,,392,DividendPayed,,180,,,,O,,,,,,,,,,,18,,,
SharePriceMove,,393,,,,,,,O,,,right,75,80,,,,,,,,,
,,394,Passed,,,,O,,,,,,,,,,,,,,,,
,,395,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,396,,y,,,,,PRR,,,,,,,,,,,,,,
,,397,TilePlaced,,,,,,R,,,,,,H8,23,4,,,,,,
,,398,TokenSkipped,,,,,,R,,,,,,,,,,,,,,
,,399,TrainRan,,100,,,,R,,,,,,,,,4,H16-H10-G7-F6,,,,
,,400,DividendPayed,,100,,,,R,,,,,,,,,,,10,,,
SharePriceMove,,401,,,,,,,R,,,right,67,68,,,,,,,,,
,,402,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,403,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,404,,n,,,,,NYNH,,,,,,,,,,,,,,
,,405,TilePlaced,,,,,,H,,,,,,D18,8,5,,,,,,
,,406,Passed,,,,NYNH,,,,,,,,,,,,,,,,
,,407,TrainRan,,100,,,,H,,,,,,,,,3,G19-F20-E19,,,,
,,408,DividendWithheld,,100,,,,H,,,,,,,,,,,,,,
SharePriceMove,,409,,,,,,,H,,,left,50,40,,,,,,,,,
,,410,Passed,,,,NYNH,,,,,,,,,,,,,,,,
,,411,PrivateBuySkipped,,,,,,H,,,,,,,,,,,,,,
StockRound,,412,,,,,,,,5,,,,,,,,,,,,,
,,413,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,414,SharesSold,e,80,,,,C&O,,,,,,,,,,,,1,,
,,415,ShareBought,e,40,,,10,NYNH,,market,,,,,,,,,,,,
,,416,ShareBought,y,100,,,10,B&O,,IPO,,,,,,,,,,,,
,,417,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,418,ShareBought,n,40,,,10,NYNH,,market,,,,,,,,,,,,
,,419,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,420,ShareBought,y,100,,,10,NYC,,IPO,,,,,,,,,,,,
,,421,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,422,ShareBought,e,68,,,10,PRR,,market,,,,,,,,,,,,
,,423,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,424,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,425,ShareBought,n,68,,,10,PRR,,market,,,,,,,,,,,,
,,426,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,427,ShareBought,y,100,,,10,NYC,,IPO,,,,,,,,,,,,
,,428,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,429,ShareBought,e,100,,,10,NYC,,IPO,,,,,,,,,,,,
,,430,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,431,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,432,ShareBought,n,100,,,10,B&O,,IPO,,,,,,,,,,,,
,,433,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,434,ShareBought,y,100,,,10,NYC,,IPO,,,,,,,,,,,,
,,435,SharesSold,y,200,,,,NYC,,,,,,,,,,,,2,,
SharePriceMove,,436,,,,,,,C,,,down,100,82,,,,,,,,,
,,437,ShareBought,e,68,,,10,PRR,,market,,,,,,,,,,,,
,,438,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,439,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,440,ShareBought,n,100,,,10,B&O,,IPO,,,,,,,,,,,,
,,441,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,442,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,443,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,444,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,445,Passed,,,,leesin,,,,,,,,,,,,,,,,
SharePriceMove,,446,,,,,,,R,,,up,68,69,,,,,,,,,
PriorityDeal,,447,,JuicyBerry,,,,,,,,,,,,,,,,,,,
OperatingRound,,448,,,,,,,,5.1,,,,,,,,,,,,,
,,449,Collect,,10,,O,,,,Champlain & St.Lawrence,,,,,,,,,,,,
,,450,Collect,,20,,C,,,,Mohawk & Hudson,,,,,,,,,,,,
,,451,Collect,,15,,O,,,,Delaware & Hudson,,,,,,,,,,,,
,,452,Collect,,5,,H,,,,Schuylkill Valley,,,,,,,,,,,,
,,453,Collect,,25,,H,,,,Camden & Amboy,,,,,,,,,,,,
CompanyOperated,,454,,e,,,,,B&O,,,,,,,,,,,,,,
,,455,TilePlaced,,,,,,O,,,,,,I15 (Baltimore),53,0,,,,,,
,,456,Passed,,,,O,,,,,,,,,,,,,,,,
,,457,TrainRan,,60,,,,O,,,,,,,,,4,H16-H10,,,,
,,458,TrainRan,,120,,,,O,,,,,,,,,3,I15-H16-H18,,,,
,,459,DividendPayed,,180,,,,O,,,,,,,,,,,18,,,
SharePriceMove,,460,,,,,,,O,,,right,90,100,,,,,,,,,
,,461,Passed,,,,O,,,,,,,,,,,,,,,,
,,462,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,463,,n,,,,,NYC,,,,,,,,,,,,,,
,,464,TilePlaced,,,,,,C,,,,,,F18,9,0,,,,,,
,,465,TokenSkipped,,,,,,C,,,,,,,,,,,,,,
,,466,TrainRan,,100,,,,C,,,,,,,,,3,E19-F20-G19,,,,
,,467,DividendPayed,,100,,,,C,,,,,,,,,,,10,,,
SharePriceMove,,468,,,,,,,C,,,right,82,90,,,,,,,,,
,,469,Passed,,,,NYC,,,,,,,,,,,,,,,,
,,470,PrivateBuySkipped,,,,,,C,,,,,,,,,,,,,,
CompanyOperated,,471,,y,,,,,C&O,,,,,,,,,,,,,,
,,472,TilePlaced,,,,,,O,,,,,,G5,28,3,,,,,,
,,473,TokenSkipped,,,,,,O,,,,,,,,,,,,,,
,,474,TrainRan,,80,,,,O,,,,,,,,,3,F2-F6-G7,,,,
,,475,TrainRan,,120,,,,O,,,,,,,,,3,H18-H16-I15,,,,
,,476,DividendPayed,,200,,,,O,,,,,,,,,,,20,,,
SharePriceMove,,477,,,,,,,O,,,up,80,90,,,,,,,,,
,,478,Passed,,,,O,,,,,,,,,,,,,,,,
,,479,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,480,,y,,,,,PRR,,,,,,,,,,,,,,
,,481,TilePlaced,,,,,,R,,,,,,H6,9,1,,,,,,
,,482,TokenSkipped,,,,,,R,,,,,,,,,,,,,,
,,483,TrainRan,,100,,,,R,,,,,,,,,4,H16-H10-G7-F6,,,,
,,484,DividendPayed,,100,,,,R,,,,,,,,,,,10,,,
SharePriceMove,,485,,,,,,,R,,,right,69,70,,,,,,,,,
,,486,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,487,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,488,,n,,,,,NYNH,,,,,,,,,,,,,,
,,489,TilePlaced,,,,,,H,,,,,,G17 (Reading & Allentown),69,1,,,,,,
,,490,TokenPlaced,,,,,,H,,,,,,E19 (Albany)  for $40,,,,,,,,
,,491,TrainRan,,100,,,,H,,,,,,,,,3,G19-F20-E19,,,,
,,492,DividendWithheld,,100,,,,H,,,,,,,,,,,,,,
SharePriceMove,,493,,,,,,,H,,,left,40,30,,,,,,,,,
,,494,Passed,,,,NYNH,,,,,,,,,,,,,,,,
,,495,PrivateBuySkipped,,,,,,H,,,,,,,,,,,,,,
OperatingRound,,496,,,,,,,,5.2,,,,,,,,,,,,,
,,497,Collect,,10,,O,,,,Champlain & St.Lawrence,,,,,,,,,,,,
,,498,Collect,,15,,O,,,,Delaware & Hudson,,,,,,,,,,,,
,,499,Collect,,20,,C,,,,Mohawk & Hudson,,,,,,,,,,,,
,,500,Collect,,5,,H,,,,Schuylkill Valley,,,,,,,,,,,,
,,501,Collect,,25,,H,,,,Camden & Amboy,,,,,,,,,,,,
CompanyOperated,,502,,e,,,,,B&O,,,,,,,,,,,,,,
,,503,TilePlaced,,,,,,O,,,,,,H14,23,1,,,,,,
,,504,Passed,,,,O,,,,,,,,,,,,,,,,
,,505,TrainRan,,80,,,,O,,,,,,,,,4,I15-H10,,,,
,,506,TrainRan,,120,,,,O,,,,,,,,,3,I15-H16-H18,,,,
,,507,DividendPayed,,200,,,,O,,,,,,,,,,,20,,,
SharePriceMove,,508,,,,,,,O,,,right,100,111,,,,,,,,,
,,509,Passed,,,,O,,,,,,,,,,,,,,,,
,,510,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,511,,y,,,,,C&O,,,,,,,,,,,,,,
,,512,TilePlaced,,,,,,O,,,,,,I17,27,1,,,,,,
,,513,TokenSkipped,,,,,,O,,,,,,,,,,,,,,
,,514,TrainRan,,90,,,,O,,,,,,,,,3,I15-H10-G7,,,,
,,515,TrainRan,,120,,,,O,,,,,,,,,3,I15-H16-H18,,,,
,,516,DividendPayed,,210,,,,O,,,,,,,,,,,21,,,
SharePriceMove,,517,,,,,,,O,,,right,90,100,,,,,,,,,
,,518,Passed,,,,O,,,,,,,,,,,,,,,,
,,519,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,520,,n,,,,,NYC,,,,,,,,,,,,,,
,,521,TilePlaced,,,,,,C,,,,,,F18,26,0,,,,,,
,,522,TokenSkipped,,,,,,C,,,,,,,,,,,,,,
,,523,TrainRan,,100,,,,C,,,,,,,,,3,E19-F20-G19,,,,
,,524,DividendPayed,,100,,,,C,,,,,,,,,,,10,,,
SharePriceMove,,525,,,,,,,C,,,right,90,100,,,,,,,,,
,,526,Passed,,,,NYC,,,,,,,,,,,,,,,,
,,527,PrivateBuySkipped,,,,,,C,,,,,,,,,,,,,,
CompanyOperated,,528,,y,,,,,PRR,,,,,,,,,,,,,,
,,529,TilePlaced,,,,,,R,,,,,,H4 (Columbus),57,1,,,,,,
,,530,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,531,TrainRan,,120,,,,R,,,,,,,,,4,I15-H10-G7-F6,,,,
,,532,DividendPayed,,120,,,,R,,,,,,,,,,,12,,,
SharePriceMove,,533,,,,,,,R,,,up,70,75,,,,,,,,,
,,534,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,535,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,536,,n,,,,,NYNH,,,,,,,,,,,,,,
,,537,TilePlaced,,,,,,H,,,,,,D16,9,1,,,,,,
,,538,TokenSkipped,,,,,,H,,,,,,,,,,,,,,
,,539,TrainRan,,100,,,,H,,,,,,,,,3,G19-F20-E19,,,,
,,540,DividendPayed,,100,,,,H,,,,,,,,,,,10,,,
SharePriceMove,,541,,,,,,,H,,,right,30,40,,,,,,,,,
,,542,Passed,,,,NYNH,,,,,,,,,,,,,,,,
,,543,PrivateBuySkipped,,,,,,H,,,,,,,,,,,,,,
StockRound,,544,,,,,,,,6,,,,,,,,,,,,,
,,545,SharesSold,y,40,,,,NYNH,,,,,,,,,,,,1,,
SharePriceMove,,546,,,,,,,H,,,down,40,30,,,,,,,,,
,,547,CompanyPared,JuicyBerry,100,,,,ERIE,,,,,,,,,,,,,,
,,548,ShareBought,y,200,,,20,ERIE,,IPO,,,,,,,,,,,,
PresidentNomination,,549,,JuicyBerry,,,,,ERIE,,,,,,,,,,,,,,
,,550,ShareBought,e,30,,,10,NYNH,,market,,,,,,,,,,,,
,,551,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,552,SharesSold,y,111,,,,B&O,,,,,,,,,,,,1,,
SharePriceMove,,553,,,,,,,O,,,down,111,100,,,,,,,,,
,,554,SharesSold,y,100,,,,C&O,,,,,,,,,,,,1,,
,,555,CompanyPared,JibJibMonkey,76,,,,B&M,,,,,,,,,,,,,,
,,556,ShareBought,y,152,,,20,B&M,,IPO,,,,,,,,,,,,
PresidentNomination,,557,,JibJibMonkey,,,,,B&M,,,,,,,,,,,,,,
,,558,SharesSold,n,100,,,,B&O,,,,,,,,,,,,1,,
SharePriceMove,,559,,,,,,,O,,,down,100,90,,,,,,,,,
,,560,SharesSold,n,100,,,,C&O,,,,,,,,,,,,1,,
,,561,ShareBought,n,71,,,10,NYNH,,IPO,,,,,,,,,,,,
,,562,ShareBought,y,100,,,10,ERIE,,IPO,,,,,,,,,,,,
,,563,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,564,SharesSold,e,100,,,,C&O,,,,,,,,,,,,1,,
,,565,ShareBought,e,90,,,10,B&O,,market,,,,,,,,,,,,
,,566,ShareBought,y,76,,,10,B&M,,IPO,,,,,,,,,,,,
,,567,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,568,ShareBought,n,100,,,10,ERIE,,IPO,,,,,,,,,,,,
,,569,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,570,ShareBought,y,100,,,10,ERIE,,IPO,,,,,,,,,,,,
,,571,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,572,ShareBought,e,100,,,10,NYC,,market,,,,,,,,,,,,
,,573,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,574,ShareBought,y,76,,,10,B&M,,IPO,,,,,,,,,,,,
,,575,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,576,ShareBought,n,100,,,10,ERIE,,IPO,,,,,,,,,,,,
CompanyFloating,,577,,E,,,,,,,,,,,,,,,,,,,
,,578,FundsReceived,,1000,,,,E,,,,,,,,,,,,,,
,,579,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,580,ShareBought,y,100,,,10,ERIE,,IPO,,,,,,,,,,,,
,,581,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,582,ShareBought,e,100,,,10,NYC,,market,,,,,,,,,,,,
,,583,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,584,ShareBought,y,76,,,10,B&M,,IPO,,,,,,,,,,,,
,,585,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,586,ShareBought,n,100,,,10,ERIE,,IPO,,,,,,,,,,,,
,,587,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,588,ShareBought,y,100,,,10,ERIE,,IPO,,,,,,,,,,,,
,,589,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,590,ShareBought,e,71,,,10,NYNH,,IPO,,,,,,,,,,,,
,,591,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,592,ShareBought,y,76,,,10,B&M,,IPO,,,,,,,,,,,,
CompanyFloating,,593,,M,,,,,,,,,,,,,,,,,,,
,,594,FundsReceived,,760,,,,M,,,,,,,,,,,,,,
,,595,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,596,ShareBought,n,71,,,10,NYNH,,IPO,,,,,,,,,,,,
,,597,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,598,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,599,ShareBought,e,76,,,10,B&M,,IPO,,,,,,,,,,,,
,,600,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,601,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,602,ShareBought,n,100,,,10,ERIE,,IPO,,,,,,,,,,,,
,,603,SharesSold,n,400,,,,ERIE,,,,,,,,,,,,4,,
SharePriceMove,,604,,,,,,,E,,,down,100,71,,,,,,,,,
,,605,SharesSold,y,100,,,,C&O,,,,,,,,,,,,1,,
,,606,ShareBought,y,76,,,10,B&M,,IPO,,,,,,,,,,,,
,,607,SharesSold,e,76,,,,B&M,,,,,,,,,,,,1,,
SharePriceMove,,608,,,,,,,M,,,down,76,71,,,,,,,,,
,,609,SharesSold,e,90,,,,B&O,,,,,,,,,,,,1,,
SharePriceMove,,610,,,,,,,O,,,down,90,80,,,,,,,,,
,,611,SharesSold,e,200,,,,NYC,,,,,,,,,,,,2,,
SharePriceMove,,612,,,,,,,C,,,down,100,82,,,,,,,,,
,,613,SharesSold,e,150,,,,PRR,,,,,,,,,,,,2,,
SharePriceMove,,614,,,,,,,R,,,down,75,70,,,,,,,,,
,,615,CompanyPared,KingZombie,90,,,,CPR,,,,,,,,,,,,,,
,,616,ShareBought,e,180,,,20,CPR,,IPO,,,,,,,,,,,,
PresidentNomination,,617,,KingZombie,,,,,CPR,,,,,,,,,,,,,,
,,618,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,619,ShareBought,n,71,,,10,B&M,,market,,,,,,,,,,,,
,,620,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,621,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,622,ShareBought,e,90,,,10,CPR,,IPO,,,,,,,,,,,,
,,623,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,624,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,625,ShareBought,n,90,,,10,CPR,,IPO,,,,,,,,,,,,
,,626,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,627,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,628,ShareBought,e,90,,,10,CPR,,IPO,,,,,,,,,,,,
,,629,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,630,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,631,ShareBought,n,90,,,10,CPR,,IPO,,,,,,,,,,,,
CompanyFloating,,632,,R,,,,,,,,,,,,,,,,,,,
,,633,FundsReceived,,900,,,,R,,,,,,,,,,,,,,
,,634,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,635,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,636,ShareBought,e,90,,,10,CPR,,IPO,,,,,,,,,,,,
,,637,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,638,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,639,ShareBought,n,90,,,10,CPR,,IPO,,,,,,,,,,,,
,,640,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,641,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,642,ShareBought,e,71,,,10,ERIE,,market,,,,,,,,,,,,
,,643,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,644,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,645,ShareBought,n,90,,,10,CPR,,IPO,,,,,,,,,,,,
,,646,SharesSold,n,360,,,,CPR,,,,,,,,,,,,4,,
SharePriceMove,,647,,,,,,,R,,,down,90,67,,,,,,,,,
,,648,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,649,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,650,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,651,ShareBought,n,70,,,10,PRR,,market,,,,,,,,,,,,
,,652,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,653,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,654,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,655,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,656,Passed,,,,leesin,,,,,,,,,,,,,,,,
SharePriceMove,,657,,,,,,,H,,,up,30,40,,,,,,,,,
PriorityDeal,,658,,JuicyBerry,,,,,,,,,,,,,,,,,,,
OperatingRound,,659,,,,,,,,6.1,,,,,,,,,,,,,
,,660,Collect,,15,,O,,,,Delaware & Hudson,,,,,,,,,,,,
,,661,Collect,,20,,C,,,,Mohawk & Hudson,,,,,,,,,,,,
,,662,Collect,,10,,O,,,,Champlain & St.Lawrence,,,,,,,,,,,,
,,663,Collect,,5,,H,,,,Schuylkill Valley,,,,,,,,,,,,
,,664,Collect,,25,,H,,,,Camden & Amboy,,,,,,,,,,,,
CompanyOperated,,665,,y,,,,,C&O,,,,,,,,,,,,,,
,,666,TilePlaced,,,,,,O,,,,,,G3,24,2,,,,,,
,,667,TokenSkipped,,,,,,O,,,,,,,,,,,,,,
,,668,TrainRan,,100,,,,O,,,,,,,,,3,I15-H10-H4,,,,
,,669,TrainRan,,120,,,,O,,,,,,,,,3,I15-H16-H18,,,,
,,670,DividendPayed,,220,,,,O,,,,,,,,,,,22,,,
SharePriceMove,,671,,,,,,,O,,,up,100,110,,,,,,,,,
,,672,Passed,,,,O,,,,,,,,,,,,,,,,
,,673,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,674,,n,,,,,NYC,,,,,,,,,,,,,,
,,675,TilePlaced,,,,,,C,,,,,,D12,9,1,,,,,,
,,676,TokenPlaced,,,,,,C,,,,,,D14 (Rochester)  for $40,,,,,,,,
,,677,TrainRan,,100,,,,C,,,,,,,,,3,E19-F20-G19,,,,
,,678,DividendPayed,,100,,,,C,,,,,,,,,,,10,,,
SharePriceMove,,679,,,,,,,C,,,right,82,90,,,,,,,,,
,,680,Passed,,,,NYC,,,,,,,,,,,,,,,,
,,681,PrivateBuySkipped,,,,,,C,,,,,,,,,,,,,,
CompanyOperated,,682,,e,,,,,B&O,,,,,,,,,,,,,,
,,683,TilePlaced,,,,,,d,,,,,,J14 (Washington),57,0,,,,,,
,,684,Passed,,,,O,,,,,,,,,,,,,,,,
,,685,TrainRan,,130,,,,O,,,,,,,,,4,K13-J14-I15-H10,,,,
,,686,TrainRan,,120,,,,O,,,,,,,,,3,I15-H16-H18,,,,
,,687,DividendPayed,,250,,,,O,,,,,,,,,,,25,,,
SharePriceMove,,688,,,,,,,O,,,up,80,90,,,,,,,,,
,,689,Passed,,,,O,,,,,,,,,,,,,,,,
,,690,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,691,,y,,,,,ERIE,,,,,,,,,,,,,,
,,692,TokenPlaced,,,,,,E,,,,,,E11,,,,,,,,
,,693,TilePlaced,,,,,,E,,,,,,E11 (Dunkirk & Buffalo),59,0,,,,,,
SelectHome,,694,,,,,,,E,,,,,,,,,,,,,,
,,695,TokenPlaced,,,,,,E,,,,,,E11 (Dunkirk & Buffalo),,,,,,,,
,,696,TokenSkipped,,,,,,E,,,,,,,,,,,,,,
,,697,TrainSkipped,,,,,,E,,,,,,,,,,,,,,
,,698,RunTrainSkipped,,,,,,E,,,,,,,,,,,,,,
SharePriceMove,,699,,,,,,,E,,,left,71,67,,,,,,,,,
,,700,Passed,,,,ERIE,,,,,,,,,,,,,,,,
,,701,PrivateBuySkipped,,,,,,E,,,,,,,,,,,,,,
CompanyOperated,,702,,y,,,,,B&M,,,,,,,,,,,,,,
,,703,TokenPlaced,,,,,,M,,,,,,E23,,,,,,,,
,,704,TilePlaced,,,,,,M,,,,,,E23 (Boston),53,1,,,,,,
,,705,TokenSkipped,,,,,,M,,,,,,,,,,,,,,
,,706,TrainSkipped,,,,,,M,,,,,,,,,,,,,,
,,707,RunTrainSkipped,,,,,,M,,,,,,,,,,,,,,
SharePriceMove,,708,,,,,,,M,,,left,71,67,,,,,,,,,
,,709,TrainBought,,300,,,,M,,The Depot,,,,,,,4,,,,,
,,710,Passed,,,,M,,,,,,,,,,,,,,,,
,,711,PrivateBuySkipped,,,,,,M,,,,,,,,,,,,,,
CompanyOperated,,712,,y,,,,,PRR,,,,,,,,,,,,,,
,,713,TilePlaced,,,,,,R,,,,,,H4 (Columbus),15,1,,,,,,
,,714,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,715,TrainRan,,150,,,,R,,,,,,,,,4,F2-H4-H10-I15,,,,
,,716,DividendPayed,,150,,,,R,,,,,,,,,,,15,,,
SharePriceMove,,717,,,,,,,R,,,up,70,75,,,,,,,,,
,,718,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,719,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,720,,e,,,,,CPR,,,,,,,,,,,,,,
,,721,TokenPlaced,,,,,,R,,,,,,A19,,,,,,,,
,,722,TilePlaced,,,,,,d,,,,,,B18,7,2,,,,,,
,,723,TokenSkipped,,,,,,R,,,,,,,,,,,,,,
,,724,TrainSkipped,,,,,,R,,,,,,,,,,,,,,
,,725,RunTrainSkipped,,,,,,R,,,,,,,,,,,,,,
SharePriceMove,,726,,,,,,,R,,,left,67,65,,,,,,,,,
,,727,TrainBought,,271,,,,R,,B&O,,,,,,,3,,,,,
,,728,Passed,,,,CPR,,,,,,,,,,,,,,,,
,,729,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,730,,n,,,,,NYNH,,,,,,,,,,,,,,
,,731,TilePlaced,,,,,,H,,,,,,D16,24,4,,,,,,
,,732,TokenSkipped,,,,,,H,,,,,,,,,,,,,,
,,733,TrainRan,,100,,,,H,,,,,,,,,3,G19-F20-E19,,,,
,,734,DividendWithheld,,100,,,,H,,,,,,,,,,,,,,
SharePriceMove,,735,,,,,,,H,,,left,40,30,,,,,,,,,
,,736,Passed,,,,NYNH,,,,,,,,,,,,,,,,
,,737,PrivateBuySkipped,,,,,,H,,,,,,,,,,,,,,
OperatingRound,,738,,,,,,,,6.2,,,,,,,,,,,,,
,,739,Collect,,15,,O,,,,Delaware & Hudson,,,,,,,,,,,,
,,740,Collect,,20,,C,,,,Mohawk & Hudson,,,,,,,,,,,,
,,741,Collect,,10,,O,,,,Champlain & St.Lawrence,,,,,,,,,,,,
,,742,Collect,,5,,H,,,,Schuylkill Valley,,,,,,,,,,,,
,,743,Collect,,25,,H,,,,Camden & Amboy,,,,,,,,,,,,
CompanyOperated,,744,,y,,,,,C&O,,,,,,,,,,,,,,
,,745,TilePlaced,,,,,,O,,,,,,G11,24,0,,,,,,
,,746,TokenSkipped,,,,,,O,,,,,,,,,,,,,,
,,747,TrainRan,,110,,,,O,,,,,,,,,3,I15-H10-H4,,,,
,,748,TrainRan,,120,,,,O,,,,,,,,,3,I15-H16-H18,,,,
,,749,DividendPayed,,230,,,,O,,,,,,,,,,,23,,,
SharePriceMove,,750,,,,,,,O,,,right,110,120,,,,,,,,,
,,751,Passed,,,,O,,,,,,,,,,,,,,,,
,,752,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,753,,n,,,,,NYC,,,,,,,,,,,,,,
