event,phase,id,action,player,amount,private,who,percentage,company,round,source,train
,,171,Buy,riverfiend,90,,,10,NYC,,IPO,
,,172,Buy,leesin,76,,,10,PRR,,IPO,
Pass,,174,,,,,mpakfm,,,,,
Pass,,175,,,,,mpcoyne,,,,,
Pass,,176,,,,,riverfiend,,,,,
,,177,Buy,leesin,76,,,10,PRR,,IPO,
CompanyFloating,,178,,R,,,,,,,,
,,179,Receive,,760,,,,R,,,
Pass,,181,,,,,mpakfm,,,,,
Pass,,182,,,,,mpcoyne,,,,,
Pass,,183,,,,,riverfiend,,,,,
Pass,,184,,,,,leesin,,,,,
PriorityDeal,,185,,mpakfm,,,,,,,,
OperatingRound,,186,,,,,,,,3.1,,
,,187,Collect,mpakfm,10,,,,,,Champlain & St.Lawrence,
,,188,Collect,mpcoyne,5,,,,,,Schuylkill Valley,
,,189,Collect,riverfiend,15,,,,,,Delaware & Hudson,
,,190,Collect,leesin,20,,,,,,Mohawk & Hudson,
,,191,Collect,leesin,25,,,,,,Camden & Amboy,
CompanyOperation,,192,,e,,,,,B&O,,,
Pass,,193,,,,,O,,,,,
Pass,,198,,,,,O,,,,,
CompanyOperation,,200,,n,,,,,PRR,,,
,,207,Buy,,80,,,,R,,The Depot,2
,,208,Buy,,80,,,,R,,The Depot,2
,,209,Buy,,180,,,,R,,The Depot,3
PhaseChange,3,210,,,,,,,,,,
,,211,Buy,PRR,220,Mohawk & Hudson from leesin,,,,,,
,,212,Buy,PRR,200,Camden & Amboy from leesin,,,,,,
CompanyOperation,,214,,m,,,,,NYC,,,
,,220,Buy,,180,,,,C,,The Depot,3
Pass,,221,,,,,NYC,,,,,
Pass,,222,,,,,NYC,,,,,
CompanyOperation,,223,,d,,,,,C&O,,,
,,224,Buy,O,140,Delaware & Hudson from riverfiend,,,,,,
,,232,Buy,,180,,,,O,,The Depot,3
Pass,,233,,,,,O,,,,,
Pass,,234,,,,,O,,,,,
StockRound,,235,,,,,,,,4,,
,,236,Buy,mpakfm,67,,,10,C&O,,market,
Pass,,238,,,,,mpcoyne,,,,,
,,239,Buy,riverfiend,76,,,10,PRR,,IPO,
,,243,Buy,leesin,67,,,10,C&O,,market,
Pass,,244,,,,,mpakfm,,,,,
Pass,,245,,,,,mpcoyne,,,,,
,,246,Buy,riverfiend,90,,,10,B&O,,market,
,,248,Buy,leesin,67,,,10,C&O,,market,
Pass,,251,,,,,mpakfm,,,,,
Pass,,252,,,,,mpcoyne,,,,,
Pass,,253,,,,,riverfiend,,,,,
,,254,Buy,leesin,90,,,10,B&O,,IPO,
Pass,,256,,,,,mpakfm,,,,,
,,259,Buy,mpcoyne,76,,,10,PRR,,IPO,
Pass,,262,,,,,riverfiend,,,,,
,,263,Buy,leesin,90,,,10,B&O,,IPO,
Pass,,265,,,,,mpakfm,,,,,
,,266,Buy,mpcoyne,90,,,10,NYC,,IPO,
Pass,,268,,,,,riverfiend,,,,,
,,269,Par,leesin,82,,,,NYNH,,,
,,270,Buy,leesin,164,,,20,NYNH,,IPO,
PresidentNomination,,271,,leesin,,,,,NYNH,,,
Pass,,273,,,,,mpakfm,,,,,
Pass,,274,,,,,mpcoyne,,,,,
Pass,,275,,,,,riverfiend,,,,,
,,276,Buy,leesin,82,,,10,NYNH,,IPO,
Pass,,278,,,,,mpakfm,,,,,
Pass,,279,,,,,mpcoyne,,,,,
Pass,,280,,,,,riverfiend,,,,,
,,281,Buy,leesin,82,,,10,NYNH,,IPO,
Pass,,283,,,,,mpakfm,,,,,
Pass,,284,,,,,mpcoyne,,,,,
Pass,,285,,,,,riverfiend,,,,,
,,286,Buy,leesin,82,,,10,NYNH,,IPO,
Pass,,288,,,,,mpakfm,,,,,
Pass,,289,,,,,mpcoyne,,,,,
Pass,,290,,,,,riverfiend,,,,,
,,291,Buy,leesin,82,,,10,NYNH,,IPO,
CompanyFloating,,292,,H,,,,,,,,
,,293,Receive,,820,,,,H,,,
Pass,,295,,,,,mpakfm,,,,,
Pass,,296,,,,,mpcoyne,,,,,
Pass,,297,,,,,riverfiend,,,,,
Pass,,298,,,,,leesin,,,,,
PriorityDeal,,300,,mpakfm,,,,,,,,
OperatingRound,,301,,,,,,,,4.1,,
,,302,Collect,mpakfm,10,,,,,,Champlain & St.Lawrence,
,,303,Collect,mpcoyne,5,,,,,,Schuylkill Valley,
,,304,Collect,O,15,,,,,,Delaware & Hudson,
,,305,Collect,PRR,20,,,,,,Mohawk & Hudson,
,,306,Collect,PRR,25,,,,,,Camden & Amboy,
CompanyOperation,,307,,e,,,,,B&O,,,
