event,phase,id,action,player,amount,private,who,percentage,company,round,source,train
CompanyOperation,,1215,,e,,,,,B&O,,,
Pass,,1216,,,,,O,,,,,
CompanyOperation,,1223,,n,,,,,NYNH,,,
Pass,,1229,,,,,NYNH,,,,,
CompanyOperation,,1231,,m,,,,,NYC,,,
Pass,,1232,,,,,NYC,,,,,
Pass,,1237,,,,,NYC,,,,,
CompanyOperation,,1239,,n,,,,,CPR,,,
Pass,,1245,,,,,CPR,,,,,
CompanyOperation,,1247,,d,,,,,ERIE,,,
Pass,,1253,,,,,ERIE,,,,,
CompanyOperation,,1255,,e,,,,,B&M,,,
CompanyOperation,,1263,,d,,,,,C&O,,,
Pass,,1264,,,,,O,,,,,
Pass,,1265,,,,,O,,,,,
Pass,,1269,,,,,O,,,,,
CompanyOperation,,1271,,n,,,,,PRR,,,
Pass,,1277,,,,,PRR,,,,,
OperatingRound,,1279,,,,,,,,8.3,,
CompanyOperation,,1280,,e,,,,,B&O,,,
Pass,,1281,,,,,O,,,,,
CompanyOperation,,1288,,n,,,,,NYNH,,,
Pass,,1294,,,,,NYNH,,,,,
CompanyOperation,,1296,,m,,,,,NYC,,,
Pass,,1297,,,,,NYC,,,,,
Pass,,1302,,,,,NYC,,,,,
CompanyOperation,,1304,,n,,,,,CPR,,,
Pass,,1310,,,,,CPR,,,,,
CompanyOperation,,1312,,d,,,,,ERIE,,,
Pass,,1318,,,,,ERIE,,,,,
CompanyOperation,,1320,,e,,,,,B&M,,,
Pass,,1321,,,,,M,,,,,
CompanyOperation,,1328,,d,,,,,C&O,,,
Pass,,1334,,,,,O,,,,,
CompanyOperation,,1336,,n,,,,,PRR,,,
Pass,,1343,,,,,PRR,,,,,
Game Over,,1345,,,,,,,,,,
